franchise,pick_order,player_as_written,price,season
SGT HULKA'S BIG TOES,1,JA'MARR CHASE,42,2026
SGT HULKA'S BIG TOES,2,BROCK BOWERS,14,2026
SGT HULKA'S BIG TOES,3,JUSTIN HERBERT,8,2026
SGT HULKA'S BIG TOES,4,LADD MCCONKEY,15,2026
SGT HULKA'S BIG TOES,5,CAM SKATTEBO,6,2026
SGT HULKA'S BIG TOES,6,BROCK PURDY,1,2026
SGT HULKA'S BIG TOES,7,JAMESON WILLIAMS,7,2026
SGT HULKA'S BIG TOES,8,COURTLAND SUTTON,6,2026
SGT HULKA'S BIG TOES,9,EVAN MACPHERSON,2,2026
SGT HULKA'S BIG TOES,10,RHEMONDRE STEVENSON,2,2026
SGT HULKA'S BIG TOES,11,TREYVEON HENDERSON,2,2026
SGT HULKA'S BIG TOES,12,NEW ENGLAND D,1,2026
SGT HULKA'S BIG TOES,13,RICO DOWDEL,4,2026
ITALIAN STYLE PARTIERS,1,JAHMYR GIBBS,39,2026
ITALIAN STYLE PARTIERS,2,DENVER D,2,2026
ITALIAN STYLE PARTIERS,3,NICO COLLINS,20,2026
ITALIAN STYLE PARTIERS,4,EDDIE PINERO,2,2026
ITALIAN STYLE PARTIERS,5,TREY MCBRIDE,8,2026
ITALIAN STYLE PARTIERS,6,RASHEE RICE,14,2026
ITALIAN STYLE PARTIERS,7,DRAKE MAYE,4,2026
ITALIAN STYLE PARTIERS,8,DALLAS GOEDERT,1,2026
ITALIAN STYLE PARTIERS,9,DEZAN STRIBLING,1,2026
ITALIAN STYLE PARTIERS,10,CHRISTIAN WATSON,6,2026
ITALIAN STYLE PARTIERS,11,TRAVIS ETIENNE,6,2026
ITALIAN STYLE PARTIERS,12,QUENTIN JOHNSON,1,2026
ITALIAN STYLE PARTIERS,13,MICHAEL WILSON,6,2026
WINGER'S RINGERS,1,BIJAN ROBINSON,38,2026
WINGER'S RINGERS,2,AJ BROWN,29,2026
WINGER'S RINGERS,3,DRAKE LONDON,20,2026
WINGER'S RINGERS,4,JALEN HURTS,5,2026
WINGER'S RINGERS,5,CAMERON DICKER,2,2026
WINGER'S RINGERS,6,PARKER WASHINGTON,5,2026
WINGER'S RINGERS,7,JAYLEN WARREN,1,2026
WINGER'S RINGERS,8,BUFFALO BILLS,1,2026
WINGER'S RINGERS,9,JORDAN ADDISON,1,2026
WINGER'S RINGERS,10,KC CONCEPCION,1,2026
WINGER'S RINGERS,11,TYLER SHOUGH,1,2026
WINGER'S RINGERS,12,MIKE WASHINGTON JR,4,2026
WINGER'S RINGERS,13,KEYSHON BOUTTE,2,2026
THE CRUISERS,1,JAXON SMITH NGIBA,36,2026
THE CRUISERS,2,DERRICK HENRY,24,2026
THE CRUISERS,3,DAK PRESCOTT,12,2026
THE CRUISERS,4,SEATTLE D,4,2026
THE CRUISERS,5,TYLER LOOP,1,2026
THE CRUISERS,6,JK DOBBINS,1,2026
THE CRUISERS,7,CHUBA HUBBARD,1,2026
THE CRUISERS,8,DK METCALF,6,2026
THE CRUISERS,9,BRIAN ROBINSON,1,2026
THE CRUISERS,10,TUCKER KRAFT,5,2026
THE CRUISERS,11,STEFON DIGGS,6,2026
THE CRUISERS,12,DANIEL JONES,1,2026
THE CRUISERS,13,BLAKE CORUM,2,2026
STUPID MUTANTS,1,PUKA NACUA,35,2026
STUPID MUTANTS,2,CHRISTIAN MCCAFFREY,25,2026
STUPID MUTANTS,3,LA RAMS,3,2026
STUPID MUTANTS,4,EMEKA EGBUKA,11,2026
STUPID MUTANTS,5,JASON MYERS,3,2026
STUPID MUTANTS,6,BAYSHUL TUTEN,5,2026
STUPID MUTANTS,7,CALEB WILLIAMS,5,2026
STUPID MUTANTS,8,JADARIAN PRICE,8,2026
STUPID MUTANTS,9,MARVIN HARRISON JR,1,2026
STUPID MUTANTS,10,DAVID MONTGOMERY,7,2026
STUPID MUTANTS,11,TYLER WARREM,1,2026
STUPID MUTANTS,12,KYLER MURRAY,1,2026
STUPID MUTANTS,13,JORDAN MASON,5,2026
SAWYER'S PSYCHOS,1,JONATHAN TAYLOR,33,2026
SAWYER'S PSYCHOS,2,OMARION HAMPTON,24,2026
SAWYER'S PSYCHOS,3,TREY SMACK,3,2026
SAWYER'S PSYCHOS,4,LA CHARGERS D,1,2026
SAWYER'S PSYCHOS,5,TET MCMILLIAN,11,2026
SAWYER'S PSYCHOS,6,JERIMIAH LOVE,10,2026
SAWYER'S PSYCHOS,7,DAVANTE ADAMS,5,2026
SAWYER'S PSYCHOS,8,JAYDEN DANIELS,6,2026
SAWYER'S PSYCHOS,9,MIKE EVANS,6,2026
SAWYER'S PSYCHOS,10,GERMY BERNARD,1,2026
SAWYER'S PSYCHOS,11,BUCKY IRVING,5,2026
